year,ccode
2013,630
2013,640
2013,645
2013,651
2013,652
2013,660
2013,663
2013,666
2013,670
2013,678
2013,679
2013,680
2013,690
2013,692
2013,694
2013,696
2013,698
2013,700
2013,701
2013,702
2013,703
2013,704
2013,705
2013,710
2013,712
2013,713
2013,730
2013,731
2013,732
2013,740
2013,750
2013,760
2013,770
2013,771
2013,775
2013,780
2013,781
2013,790
2013,800
2013,811
2013,812
2013,816
2013,817
2013,820
2013,830
2013,835
2013,840
2013,850
2013,860
2013,900
2013,910
2013,920
2013,935
2013,940
2013,946
2013,947
2013,950
2013,955
2013,970
2013,983
2013,986
2013,987
2013,990
2014,2
2014,20
2014,31
2014,40
2014,41
2014,42
2014,51
2014,52
2014,53
2014,54
2014,55
2014,56
2014,57
2014,58
2014,60
2014,70
2014,80
2014,90
2014,91
2014,92
2014,93
2014,94
2014,95
2014,100
2014,101
2014,110
2014,115
2014,130
2014,135
2014,140
2014,145
2014,150
2014,155
2014,160
2014,165
2014,200
2014,205
2014,210
2014,211
2014,212
2014,220
2014,221
2014,223
2014,225
2014,230
2014,232
2014,235
2014,240
2014,245
2014,255
2014,260
2014,265
2014,267
2014,269
2014,271
2014,273
2014,275
2014,280
2014,290
2014,300
2014,305
2014,310
2014,315
2014,316
2014,317
2014,325
2014,327
2014,329
2014,331
2014,332
2014,335
2014,337
2014,338
2014,339
2014,343
2014,344
2014,345
2014,346
2014,349
2014,350
2014,352
2014,355
2014,359
2014,360
2014,365
2014,366
2014,367
2014,368
2014,369
2014,370
2014,371
2014,372
2014,373
2014,375
2014,380
2014,385
2014,390
2014,395
2014,402
2014,403
2014,404
2014,411
2014,420
2014,432
2014,433
2014,434
2014,435
2014,436
2014,437
2014,438
2014,439
2014,450
2014,451
2014,452
2014,461
2014,471
2014,475
2014,481
2014,482
2014,483
2014,484
2014,490
2014,500
2014,501
2014,510
2014,511
2014,516
2014,517
2014,520
2014,522
2014,530
2014,531
2014,540
2014,541
2014,551
2014,552
2014,553
2014,560
2014,565
2014,570
2014,571
2014,572
2014,580
2014,581
2014,590
2014,591
2014,600
2014,615
2014,616
